id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cakupan_layanan,jumlah_kepala_keluarga,satuan,tahun
98,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAYANAN DASAR,41347,KEPALA KELUARGA,2020
99,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BUANG AIR BESAR SEMBARANGAN,75514,KEPALA KELUARGA,2020
100,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SANITASI LAYAK,242353,KEPALA KELUARGA,2020
101,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAYANAN DASAR,60991,KEPALA KELUARGA,2020
102,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BUANG AIR BESAR SEMBARANGAN,93242,KEPALA KELUARGA,2020
103,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SANITASI LAYAK,296739,KEPALA KELUARGA,2020
104,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAYANAN DASAR,18,KEPALA KELUARGA,2020
105,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BUANG AIR BESAR SEMBARANGAN,36669,KEPALA KELUARGA,2020
106,32,JAWA BARAT,3209,KABUPATEN CIREBON,SANITASI LAYAK,543376,KEPALA KELUARGA,2020
107,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAYANAN DASAR,35154,KEPALA KELUARGA,2020
108,32,JAWA BARAT,3209,KABUPATEN CIREBON,BUANG AIR BESAR SEMBARANGAN,80987,KEPALA KELUARGA,2020
109,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SANITASI LAYAK,215750,KEPALA KELUARGA,2020
110,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAYANAN DASAR,33389,KEPALA KELUARGA,2020
111,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BUANG AIR BESAR SEMBARANGAN,133193,KEPALA KELUARGA,2020
112,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SANITASI LAYAK,312940,KEPALA KELUARGA,2020
113,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAYANAN DASAR,21261,KEPALA KELUARGA,2020
114,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BUANG AIR BESAR SEMBARANGAN,19173,KEPALA KELUARGA,2020
115,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SANITASI LAYAK,468300,KEPALA KELUARGA,2020
116,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAYANAN DASAR,32038,KEPALA KELUARGA,2020
117,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BUANG AIR BESAR SEMBARANGAN,112429,KEPALA KELUARGA,2020
118,32,JAWA BARAT,3213,KABUPATEN SUBANG,SANITASI LAYAK,441363,KEPALA KELUARGA,2020
119,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAYANAN DASAR,4498,KEPALA KELUARGA,2020
120,32,JAWA BARAT,3213,KABUPATEN SUBANG,BUANG AIR BESAR SEMBARANGAN,7077,KEPALA KELUARGA,2020
121,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SANITASI LAYAK,218039,KEPALA KELUARGA,2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAYANAN DASAR,7959,KEPALA KELUARGA,2020
123,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BUANG AIR BESAR SEMBARANGAN,18596,KEPALA KELUARGA,2020
124,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SANITASI LAYAK,543778,KEPALA KELUARGA,2020
125,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAYANAN DASAR,38671,KEPALA KELUARGA,2020
126,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BUANG AIR BESAR SEMBARANGAN,68094,KEPALA KELUARGA,2020
127,32,JAWA BARAT,3216,KABUPATEN BEKASI,SANITASI LAYAK,792690,KEPALA KELUARGA,2020
128,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAYANAN DASAR,122737,KEPALA KELUARGA,2020
129,32,JAWA BARAT,3216,KABUPATEN BEKASI,BUANG AIR BESAR SEMBARANGAN,81307,KEPALA KELUARGA,2020
130,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SANITASI LAYAK,471656,KEPALA KELUARGA,2020
131,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAYANAN DASAR,35557,KEPALA KELUARGA,2020
132,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BUANG AIR BESAR SEMBARANGAN,0,KEPALA KELUARGA,2020
133,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SANITASI LAYAK,112497,KEPALA KELUARGA,2020
134,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAYANAN DASAR,9679,KEPALA KELUARGA,2020
135,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BUANG AIR BESAR SEMBARANGAN,21598,KEPALA KELUARGA,2020
136,32,JAWA BARAT,3271,KOTA BOGOR,SANITASI LAYAK,131690,KEPALA KELUARGA,2020
137,32,JAWA BARAT,3271,KOTA BOGOR,LAYANAN DASAR,0,KEPALA KELUARGA,2020
138,32,JAWA BARAT,3271,KOTA BOGOR,BUANG AIR BESAR SEMBARANGAN,103731,KEPALA KELUARGA,2020
139,32,JAWA BARAT,3272,KOTA SUKABUMI,SANITASI LAYAK,37350,KEPALA KELUARGA,2020
140,32,JAWA BARAT,3272,KOTA SUKABUMI,LAYANAN DASAR,0,KEPALA KELUARGA,2020
141,32,JAWA BARAT,3272,KOTA SUKABUMI,BUANG AIR BESAR SEMBARANGAN,61123,KEPALA KELUARGA,2020
142,32,JAWA BARAT,3273,KOTA BANDUNG,SANITASI LAYAK,366391,KEPALA KELUARGA,2020
143,32,JAWA BARAT,3273,KOTA BANDUNG,LAYANAN DASAR,0,KEPALA KELUARGA,2020
144,32,JAWA BARAT,3273,KOTA BANDUNG,BUANG AIR BESAR SEMBARANGAN,196253,KEPALA KELUARGA,2020
145,32,JAWA BARAT,3274,KOTA CIREBON,SANITASI LAYAK,81505,KEPALA KELUARGA,2020
146,32,JAWA BARAT,3274,KOTA CIREBON,LAYANAN DASAR,0,KEPALA KELUARGA,2020
147,32,JAWA BARAT,3274,KOTA CIREBON,BUANG AIR BESAR SEMBARANGAN,8361,KEPALA KELUARGA,2020
148,32,JAWA BARAT,3275,KOTA BEKASI,SANITASI LAYAK,559918,KEPALA KELUARGA,2020
149,32,JAWA BARAT,3275,KOTA BEKASI,LAYANAN DASAR,0,KEPALA KELUARGA,2020
150,32,JAWA BARAT,3275,KOTA BEKASI,BUANG AIR BESAR SEMBARANGAN,25791,KEPALA KELUARGA,2020
151,32,JAWA BARAT,3276,KOTA DEPOK,SANITASI LAYAK,352804,KEPALA KELUARGA,2020
152,32,JAWA BARAT,3276,KOTA DEPOK,LAYANAN DASAR,0,KEPALA KELUARGA,2020
153,32,JAWA BARAT,3276,KOTA DEPOK,BUANG AIR BESAR SEMBARANGAN,45572,KEPALA KELUARGA,2020
154,32,JAWA BARAT,3277,KOTA CIMAHI,SANITASI LAYAK,116840,KEPALA KELUARGA,2020
155,32,JAWA BARAT,3277,KOTA CIMAHI,LAYANAN DASAR,0,KEPALA KELUARGA,2020
156,32,JAWA BARAT,3277,KOTA CIMAHI,BUANG AIR BESAR SEMBARANGAN,34369,KEPALA KELUARGA,2020
157,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SANITASI LAYAK,85582,KEPALA KELUARGA,2020
158,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAYANAN DASAR,4307,KEPALA KELUARGA,2020
159,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BUANG AIR BESAR SEMBARANGAN,92178,KEPALA KELUARGA,2020
