,Platform,Year,Genre,EU_Sales
561,SNES,1995,Misc,0.0
562,SNES,1995,Sports,0.0
563,PS,1995,Shooter,0.1
564,SNES,1995,Puzzle,0.0
565,PS,1995,Sports,0.09
566,PS,1995,Strategy,0.09
567,PS,1995,Sports,0.0
568,PS,1995,Sports,0.09
569,SAT,1995,Fighting,0.0
570,PS,1995,Shooter,0.04
571,SAT,1995,Sports,0.0
572,SNES,1995,Fighting,0.0
573,SAT,1995,Fighting,0.0
574,NG,1995,Fighting,0.0
575,SNES,1995,Strategy,0.0
576,PS,1995,Puzzle,0.07
577,SAT,1995,Simulation,0.0
578,PS,1995,Sports,0.07
579,SAT,1995,Misc,0.0
580,PS,1995,Fighting,0.07
581,PS,1995,Role-Playing,0.02
582,PS,1995,Racing,0.06
583,SAT,1995,Shooter,0.0
584,PS,1995,Role-Playing,0.06
585,SNES,1995,Sports,0.0
586,PS,1995,Sports,0.06
587,PS,1995,Shooter,0.0
588,SAT,1995,Sports,0.0
589,SNES,1995,Puzzle,0.0
590,SAT,1995,Fighting,0.0
591,PS,1995,Role-Playing,0.0
592,PS,1995,Shooter,0.01
593,PS,1995,Simulation,0.05
594,TG16,1995,Adventure,0.0
595,PS,1995,Action,0.0
596,PS,1995,Shooter,0.02
597,SAT,1995,Racing,0.0
598,PS,1995,Strategy,0.0
599,PS,1995,Strategy,0.03
600,PS,1995,Shooter,0.05
601,PS,1995,Sports,0.0
602,SNES,1995,Role-Playing,0.0
603,PS,1995,Sports,0.05
604,SAT,1995,Shooter,0.0
605,SAT,1995,Racing,0.0
606,SAT,1995,Misc,0.0
607,PS,1995,Strategy,0.0
608,SAT,1995,Strategy,0.0
609,SAT,1995,Misc,0.0
610,PS,1995,Misc,0.0
611,PS,1995,Sports,0.0
612,PS,1995,Strategy,0.01
613,SAT,1995,Role-Playing,0.0
614,PS,1995,Shooter,0.02
615,SNES,1995,Role-Playing,0.0
616,PS,1995,Adventure,0.0
617,SNES,1995,Role-Playing,0.0
618,PS,1995,Shooter,0.04
619,PS,1995,Fighting,0.0
620,PS,1995,Action,0.04
621,SAT,1995,Shooter,0.0
622,SAT,1995,Misc,0.0
623,SNES,1995,Racing,0.0
624,SNES,1995,Sports,0.0
625,SNES,1995,Role-Playing,0.0
626,PS,1995,Strategy,0.04
627,SAT,1995,Misc,0.0
628,PS,1995,Simulation,0.04
629,PS,1995,Shooter,0.0
630,SNES,1995,Platform,0.01
631,SAT,1995,Fighting,0.0
632,PS,1995,Shooter,0.0
633,PS,1995,Action,0.03
634,SAT,1995,Simulation,0.0
635,SAT,1995,Misc,0.0
636,PS,1995,Fighting,0.03
637,PS,1995,Sports,0.03
638,NG,1995,Fighting,0.0
639,PS,1995,Shooter,0.03
640,PS,1995,Simulation,0.01
641,PS,1995,Sports,0.03
642,SAT,1995,Strategy,0.0
643,PS,1995,Simulation,0.03
644,SAT,1995,Strategy,0.0
645,PS,1995,Adventure,0.0
646,PS,1995,Sports,0.0
647,SAT,1995,Racing,0.0
648,PS,1995,Shooter,0.03
649,PS,1995,Shooter,0.03
650,SAT,1995,Misc,0.0
651,PS,1995,Shooter,0.03
652,PS,1995,Puzzle,0.02
653,PS,1995,Shooter,0.02
654,SNES,1995,Simulation,0.0
655,SAT,1995,Adventure,0.0
656,PS,1995,Puzzle,0.02
657,SAT,1995,Adventure,0.0
658,3DO,1995,Adventure,0.0
659,PS,1995,Fighting,0.02
660,SNES,1995,Platform,0.0
661,SAT,1995,Shooter,0.0
