,Platform,Year,Genre,Global_Sales
522,SNES,1995,Simulation,0.49
523,SNES,1995,Puzzle,0.47
524,PS,1995,Action,0.47
525,SNES,1995,Misc,0.47
526,PS,1995,Simulation,0.46
527,SNES,1995,Sports,0.45
528,PS,1995,Role-Playing,0.45
529,PS,1995,Action,0.45
530,SNES,1995,Sports,0.42
531,SAT,1995,Fighting,0.42
532,SAT,1995,Action,0.41
533,SNES,1995,Puzzle,0.41
534,SAT,1995,Fighting,0.4
535,SNES,1995,Role-Playing,0.4
536,SNES,1995,Role-Playing,0.4
537,SAT,1995,Role-Playing,0.38
538,SNES,1995,Strategy,0.38
539,SAT,1995,Shooter,0.37
540,PS,1995,Fighting,0.36
541,SNES,1995,Action,0.35
542,SAT,1995,Shooter,0.34
543,SAT,1995,Fighting,0.34
544,PS,1995,Fighting,0.33
545,GB,1995,Puzzle,0.32
546,PS,1995,Misc,0.32
547,SAT,1995,Fighting,0.32
548,PS,1995,Sports,0.31
549,SNES,1995,Platform,0.31
550,SAT,1995,Shooter,0.31
551,GB,1995,Misc,0.3
552,PS,1995,Platform,0.3
553,SAT,1995,Role-Playing,0.3
554,SNES,1995,Sports,0.3
555,SNES,1995,Role-Playing,0.3
556,SAT,1995,Role-Playing,0.29
557,SNES,1995,Fighting,0.28
558,SAT,1995,Fighting,0.28
559,SNES,1995,Platform,0.28
560,PS,1995,Sports,0.28
561,SNES,1995,Misc,0.28
562,SNES,1995,Sports,0.27
563,PS,1995,Shooter,0.27
564,SNES,1995,Puzzle,0.27
565,PS,1995,Sports,0.25
566,PS,1995,Strategy,0.24
567,PS,1995,Sports,0.24
568,PS,1995,Sports,0.24
569,SAT,1995,Fighting,0.23
570,PS,1995,Shooter,0.23
571,SAT,1995,Sports,0.22
572,SNES,1995,Fighting,0.21
573,SAT,1995,Fighting,0.21
574,NG,1995,Fighting,0.2
575,SNES,1995,Strategy,0.2
576,PS,1995,Puzzle,0.2
577,SAT,1995,Simulation,0.19
578,PS,1995,Sports,0.19
579,SAT,1995,Misc,0.19
580,PS,1995,Fighting,0.17
581,PS,1995,Role-Playing,0.17
582,PS,1995,Racing,0.17
583,SAT,1995,Shooter,0.17
584,PS,1995,Role-Playing,0.16
585,SNES,1995,Sports,0.16
586,PS,1995,Sports,0.16
587,PS,1995,Shooter,0.16
588,SAT,1995,Sports,0.15
589,SNES,1995,Puzzle,0.15
590,SAT,1995,Fighting,0.15
591,PS,1995,Role-Playing,0.15
592,PS,1995,Shooter,0.14
593,PS,1995,Simulation,0.14
594,TG16,1995,Adventure,0.14
595,PS,1995,Action,0.14
596,PS,1995,Shooter,0.14
597,SAT,1995,Racing,0.14
598,PS,1995,Strategy,0.13
599,PS,1995,Strategy,0.13
600,PS,1995,Shooter,0.13
601,PS,1995,Sports,0.13
602,SNES,1995,Role-Playing,0.13
603,PS,1995,Sports,0.13
604,SAT,1995,Shooter,0.13
605,SAT,1995,Racing,0.12
606,SAT,1995,Misc,0.12
607,PS,1995,Strategy,0.12
608,SAT,1995,Strategy,0.11
609,SAT,1995,Misc,0.11
610,PS,1995,Misc,0.11
611,PS,1995,Sports,0.11
612,PS,1995,Strategy,0.11
613,SAT,1995,Role-Playing,0.11
614,PS,1995,Shooter,0.11
615,SNES,1995,Role-Playing,0.11
616,PS,1995,Adventure,0.11
617,SNES,1995,Role-Playing,0.1
618,PS,1995,Shooter,0.1
619,PS,1995,Fighting,0.1
620,PS,1995,Action,0.1
621,SAT,1995,Shooter,0.1
622,SAT,1995,Misc,0.1
623,SNES,1995,Racing,0.1
624,SNES,1995,Sports,0.1
625,SNES,1995,Role-Playing,0.09
626,PS,1995,Strategy,0.09
627,SAT,1995,Misc,0.09
628,PS,1995,Simulation,0.09
629,PS,1995,Shooter,0.09
630,SNES,1995,Platform,0.09
631,SAT,1995,Fighting,0.09
632,PS,1995,Shooter,0.09
633,PS,1995,Action,0.09
634,SAT,1995,Simulation,0.08
635,SAT,1995,Misc,0.08
636,PS,1995,Fighting,0.08
637,PS,1995,Sports,0.08
638,NG,1995,Fighting,0.08
639,PS,1995,Shooter,0.08
640,PS,1995,Simulation,0.08
641,PS,1995,Sports,0.08
642,SAT,1995,Strategy,0.08
643,PS,1995,Simulation,0.08
644,SAT,1995,Strategy,0.08
645,PS,1995,Adventure,0.07
646,PS,1995,Sports,0.07
647,SAT,1995,Racing,0.07
648,PS,1995,Shooter,0.07
