,Platform,Year,Genre,JP_Sales
419,SNES,1994,Fighting,0.31
420,SAT,1994,Sports,0.3
421,SNES,1994,Role-Playing,0.3
422,SNES,1994,Misc,0.29
423,SNES,1994,Sports,0.28
424,SAT,1994,Simulation,0.28
425,SNES,1994,Sports,0.27
426,SNES,1994,Simulation,0.27
427,GEN,1994,Racing,0.26
428,SAT,1994,Shooter,0.25
429,PS,1994,Strategy,0.24
430,NG,1994,Fighting,0.25
431,NG,1994,Fighting,0.23
432,SNES,1994,Racing,0.2
433,NG,1994,Fighting,0.2
434,SAT,1994,Shooter,0.2
435,PS,1994,Simulation,0.0
436,SNES,1994,Strategy,0.19
437,SNES,1994,Shooter,0.18
438,SAT,1994,Racing,0.18
439,SNES,1994,Fighting,0.16
440,GEN,1994,Role-Playing,0.14
441,SCD,1994,Strategy,0.14
442,NG,1994,Fighting,0.12
443,SNES,1994,Role-Playing,0.12
444,SAT,1994,Fighting,0.12
445,SNES,1994,Fighting,0.12
446,SAT,1994,Fighting,0.12
447,PS,1994,Fighting,0.0
448,PS,1994,Sports,0.11
449,NES,1994,Role-Playing,0.11
450,PS,1994,Shooter,0.0
451,PS,1994,Role-Playing,0.09
452,SAT,1994,Platform,0.09
453,SAT,1994,Simulation,0.08
454,PS,1994,Role-Playing,0.08
455,GEN,1994,Fighting,0.08
456,GEN,1994,Role-Playing,0.08
457,SNES,1994,Role-Playing,0.08
458,SAT,1994,Racing,0.07
459,SCD,1994,Racing,0.07
460,SNES,1994,Sports,0.07
461,SNES,1994,Action,0.07
462,PS,1994,Racing,0.06
463,PS,1994,Adventure,0.0
464,SAT,1994,Shooter,0.06
465,SAT,1994,Sports,0.06
466,SCD,1994,Role-Playing,0.06
467,SAT,1994,Adventure,0.06
468,SCD,1994,Misc,0.05
469,SNES,1994,Misc,0.05
470,SAT,1994,Fighting,0.05
471,SCD,1994,Misc,0.04
472,SAT,1994,Sports,0.04
473,SAT,1994,Fighting,0.04
474,GEN,1994,Sports,0.04
475,GEN,1994,Platform,0.04
476,SNES,1994,Role-Playing,0.03
477,SNES,1994,Role-Playing,0.03
478,GEN,1994,Misc,0.03
479,SNES,1994,Action,0.03
480,SNES,1994,Action,0.03
481,3DO,1994,Puzzle,0.02
482,SNES,1994,Fighting,0.02
483,SAT,1994,Sports,0.02
484,SNES,1994,Sports,0.02
485,PC,1994,Fighting,0.0
486,SNES,1995,Platform,2.2
487,PC,1995,Strategy,0.0
488,SNES,1995,Platform,1.76
489,PS,1995,Misc,0.22
490,PS,1995,Fighting,0.77
491,SNES,1995,Fighting,0.12
492,SNES,1995,Role-Playing,3.19
493,PS,1995,Platform,0.0
494,GB,1995,Platform,1.48
495,SNES,1995,Role-Playing,2.02
496,SAT,1995,Fighting,1.3
497,PS,1995,Simulation,0.52
498,PS,1995,Action,0.0
499,SNES,1995,Role-Playing,1.29
500,PS,1995,Racing,0.0
501,SAT,1995,Racing,0.77
502,SNES,1995,Sports,1.15
503,PS,1995,Role-Playing,1.1
504,PS,1995,Racing,0.71
505,SNES,1995,Sports,0.0
506,PS,1995,Racing,0.0
507,PS,1995,Racing,0.0
508,SNES,1995,Role-Playing,0.89
509,PS,1995,Platform,0.0
510,PS,1995,Sports,0.0
511,PS,1995,Fighting,0.43
512,SNES,1995,Role-Playing,0.71
513,PS,1995,Fighting,0.41
514,SAT,1995,Shooter,0.62
515,GB,1995,Puzzle,0.62
516,PS,1995,Role-Playing,0.21
517,SNES,1995,Strategy,0.6
518,PS,1995,Simulation,0.55
519,PS,1995,Role-Playing,0.35
520,PS,1995,Fighting,0.02
521,PS,1995,Sports,0.0
522,SNES,1995,Simulation,0.49
523,SNES,1995,Puzzle,0.47
524,PS,1995,Action,0.0
525,SNES,1995,Misc,0.47
526,PS,1995,Simulation,0.0
527,SNES,1995,Sports,0.45
528,PS,1995,Role-Playing,0.42
529,PS,1995,Action,0.42
530,SNES,1995,Sports,0.42
531,SAT,1995,Fighting,0.42
532,SAT,1995,Action,0.41
533,SNES,1995,Puzzle,0.41
534,SAT,1995,Fighting,0.4
535,SNES,1995,Role-Playing,0.4
536,SNES,1995,Role-Playing,0.4
537,SAT,1995,Role-Playing,0.38
538,SNES,1995,Strategy,0.38
539,SAT,1995,Shooter,0.37
540,PS,1995,Fighting,0.33
541,SNES,1995,Action,0.3
542,SAT,1995,Shooter,0.34
543,SAT,1995,Fighting,0.34
544,PS,1995,Fighting,0.3
